week,roster_id,opponent_roster_id,points,result
1,1,5,125.86,W
1,2,6,129.98,W
1,3,9,106.22,W
1,4,8,121.72,W
1,5,1,100.16,L
1,6,2,86.62,L
1,7,11,116.88,W
1,8,4,119.12,L
1,9,3,99.60,L
1,10,12,92.18,L
1,11,7,116.72,L
1,12,10,127.52,W
2,1,7,84.92,L
2,2,12,168.56,W
2,3,5,113.90,L
2,4,6,132.28,W
2,5,3,154.30,W
2,6,4,91.04,L
2,7,1,154.00,W
2,8,10,152.40,W
2,9,11,67.84,L
2,10,8,124.72,L
2,11,9,84.28,W
2,12,2,96.68,L
3,1,11,124.82,L
3,2,8,148.22,W
3,3,7,113.46,L
3,4,10,78.16,L
3,5,9,130.62,L
3,6,12,92.00,W
3,7,3,132.42,W
3,8,2,106.64,L
3,9,5,146.44,W
3,10,4,101.96,W
3,11,1,174.90,W
3,12,6,77.22,L
4,1,3,135.96,L
4,2,10,128.52,L
4,3,1,139.90,W
4,4,12,123.10,W
4,5,11,84.28,L
4,6,8,92.98,L
4,7,9,156.04,W
4,8,6,135.70,W
4,9,7,131.70,L
4,10,2,129.86,W
4,11,5,107.92,W
4,12,4,121.78,L
5,1,9,140.72,W
5,2,4,99.72,L
5,3,11,157.30,W
5,4,2,127.22,W
5,5,7,148.38,W
5,6,10,90.12,W
5,7,5,112.88,L
5,8,12,118.86,L
5,9,1,126.60,L
5,10,6,87.90,L
5,11,3,145.74,L
5,12,8,119.78,W
6,1,10,105.20,W
6,2,3,135.54,L
6,3,2,154.60,W
6,4,11,111.68,W
6,5,12,100.08,L
6,6,9,74.56,L
6,7,8,127.14,W
6,8,7,96.14,L
6,9,6,134.42,W
6,10,1,69.20,L
6,11,4,104.26,L
6,12,5,124.06,W
7,1,12,123.36,W
7,2,9,125.18,L
7,3,6,136.92,W
7,4,7,122.84,L
7,5,10,122.02,W
7,6,3,82.68,L
7,7,4,145.46,W
7,8,11,114.74,L
7,9,2,140.64,W
7,10,5,75.80,L
7,11,8,188.80,W
7,12,1,66.76,L
8,1,2,103.82,W
8,2,1,83.98,L
8,3,8,120.92,L
8,4,9,94.66,W
8,5,6,116.70,L
8,6,5,140.50,W
8,7,10,103.42,W
8,8,3,143.72,W
8,9,4,94.26,L
8,10,7,84.06,L
8,11,12,146.68,L
8,12,11,171.24,W
9,1,6,129.62,W
9,2,5,171.16,W
9,3,4,128.04,W
9,4,3,119.90,L
9,5,2,124.66,L
9,6,1,76.04,L
9,7,12,105.70,W
9,8,9,132.54,W
9,9,8,129.90,L
9,10,11,96.32,L
9,11,10,125.80,W
9,12,7,80.68,L
10,1,8,146.14,W
10,2,7,149.90,W
10,3,10,156.02,W
10,4,5,99.58,L
10,5,4,128.64,W
10,6,11,108.00,L
10,7,2,100.90,L
10,8,1,139.80,L
10,9,12,98.22,L
10,10,3,98.94,L
10,11,6,141.50,W
10,12,9,111.50,W
11,1,4,162.18,W
11,2,11,114.24,W
11,3,12,112.22,L
11,4,1,101.30,L
11,5,8,95.82,W
11,6,7,86.50,L
11,7,6,131.32,W
11,8,5,65.00,L
11,9,10,133.80,W
11,10,9,103.04,L
11,11,2,99.54,L
11,12,3,135.26,W
12,1,5,99.32,W
12,2,6,109.36,W
12,3,9,179.38,W
12,4,8,79.96,L
12,5,1,80.32,L
12,6,2,104.56,L
12,7,11,220.66,W
12,8,4,164.92,W
12,9,3,135.56,L
12,10,12,58.68,L
12,11,7,148.34,L
12,12,10,96.56,W
13,1,7,34.88,L
13,2,12,78.70,L
13,3,5,137.64,W
13,4,6,73.80,L
13,5,3,96.44,L
13,6,4,93.94,W
13,7,1,96.00,W
13,8,10,61.02,L
13,9,11,111.60,W
13,10,8,111.84,W
13,11,9,86.74,L
13,12,2,105.16,W
